Image_Key,Canton,Latitude,Longitude,Camera_Angle,Sequence_Key,Captured_At,Panorama
hq1D7QCt44xiGZsOeZDu9A,LU,47.0505462,8.3026671,189.979,1h49e9oc5bza33sitax5xn,2019-12-18T13:39:07.440Z,False
PiIRzvkvZP6eOwO17xvIcw,LU,47.0506697,8.302519,340.261,1h49e9oc5bza33sitax5xn,2019-12-18T13:39:07.440Z,False
ChwTLWL1QUPDa7iNlO6zbw,LU,47.0509002,8.3023718,325.648,1h49e9oc5bza33sitax5xn,2019-12-18T13:39:07.440Z,False
RFeQYKvqHwDrRht1EB2BUQ,LU,47.0510931,8.3021812,314.055,1h49e9oc5bza33sitax5xn,2019-12-18T13:39:07.440Z,False
rMZqgT0qVBY1Y2aIgZx_TA,LU,47.051234,8.301861,293.056,1h49e9oc5bza33sitax5xn,2019-12-18T13:39:07.440Z,False
i7SdJt7LAAkfyqFyTXIMtQ,LU,47.0513195,8.3015317,283.337,1h49e9oc5bza33sitax5xn,2019-12-18T13:39:07.440Z,False
mZ6bPfK-FpvZx4TXUYWCAA,LU,47.0519913,8.3048639,228.721,mphhm2nuvf4q87j0autini,2019-12-18T10:50:57.547Z,False
2Z85Koc6NLruxCH8LwVuPw,LU,47.0520331,8.3047494,53.8121,mphhm2nuvf4q87j0autini,2019-12-18T10:50:57.547Z,False
JjxQFr5b6NkZC6eoFM8yIw,LU,47.0301781,8.294612,6.24111,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
p2t_GBUTpDqoCssqX5wvAw,LU,47.0313997,8.2947547,1.50299,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
YiLnki8FESY-OKKdPXkLag,LU,47.031947,8.2948408,7.73516,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
72dKag2iT8yHbmEIDuQFpA,LU,47.0335159,8.2951906,4.68908,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
7-pw_xzy_wb1ABEbH6Wd_A,LU,47.0343131,8.2952784,7.69231,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
AG2Xww1SivUry2raovv5RQ,LU,47.0355406,8.2955349,3.11945,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
xpoP3DCESinv1rKCUsSzxg,LU,47.0365604,8.2955068,348.452,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
ocgsGLhnnHASsldkv011cQ,LU,47.0370277,8.2953956,342.324,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
gX1mibJCB28cJhanIqx35Q,LU,47.0374718,8.2952063,345.635,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
g470Z2_i4-2neza19GwHLQ,LU,47.0379134,8.2949678,335.592,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
a4imSBHAPFKlMWDcAREtIA,LU,47.0383217,8.2946816,335.282,ky9pvObwR5JdWykDAXY78g,2019-09-15T16:04:05.000Z,False
A81BRnXMVsH6j1O7b1X1aA,LU,47.0613579,8.2877343,0,InJQKw5HbtxO0DjJZ1RXjw,2019-07-11T17:56:55.000Z,False
bAjSTM25I5TjJ7Ekys7pdA,LU,47.0614165,8.2874911,0,InJQKw5HbtxO0DjJZ1RXjw,2019-07-11T17:56:55.000Z,False
Ax6nep0jLE9rED6CYvbz0g,LU,47.0617598,8.2872454,0,InJQKw5HbtxO0DjJZ1RXjw,2019-07-11T17:56:55.000Z,False
